p,n,benchid,solverid,result,time,timeout
3,300,1910,17,0,1182.33,1200
3,300,1910,18,0,1200,1200
3,300,1910,19,0,1200,1200
3,300,1910,20,0,0.6,1200
3,300,1910,21,0,1200,1200
3,300,1910,22,0,1200,1200
3,300,1910,24,0,9.94,1200
3,300,1910,25,20,465.37,1200
3,300,1910,26,20,108.41,1200
3,300,1910,27,0,1200,1200
3,300,1910,28,0,1200,1200
3,300,1910,31,0,1200,1200
3,300,1910,32,0,1200,1200
3,300,1910,33,20,591.91,1200
3,300,1910,34,20,114.62,1200
3,300,1910,36,0,1200,1200
3,300,1910,37,0,1200,1200
3,300,1910,38,20,119.33,1200
3,300,1910,39,0,1200,1200
3,300,1910,40,0,1197.03,1200
3,300,1910,41,20,5.75,1200
3,300,1910,42,0,1200,1200
3,300,1911,1,0,1200,1200
3,300,1911,2,0,1200.49,1200
3,300,1911,3,0,1200.59,1200
3,300,1911,4,0,1200.78,1200
3,300,1911,5,0,1200,1200
3,300,1911,6,20,944.5,1200
3,300,1911,7,20,15.3,1200
3,300,1911,8,20,18.91,1200
3,300,1911,9,20,17.76,1200
3,300,1911,15,0,1200,1200
3,300,1911,16,0,1196.83,1200
3,300,1911,17,0,1197.61,1200
3,300,1911,18,0,1200,1200
3,300,1911,19,0,1200,1200
3,300,1911,20,0,1.65,1200
3,300,1911,21,0,1200,1200
3,300,1911,22,0,1200,1200
3,300,1911,24,0,0.01,1200
3,300,1911,25,20,165.51,1200
3,300,1911,26,20,53.98,1200
3,300,1911,27,0,1200,1200
3,300,1911,28,0,1200,1200
3,300,1911,31,0,1200,1200
3,300,1911,32,0,1200,1200
3,300,1911,33,20,265,1200
3,300,1911,34,20,57.05,1200
3,300,1911,36,0,1200,1200
3,300,1911,37,0,1200,1200
3,300,1911,38,20,72.27,1200
3,300,1911,39,0,1200,1200
3,300,1911,40,0,1197.02,1200
3,300,1911,41,20,2.74,1200
3,300,1911,42,0,1200,1200
3,360,1812,1,10,2.91,1200
3,360,1812,2,0,1200.69,1200
3,360,1812,3,0,1200.03,1200
3,360,1812,4,0,1200.65,1200
3,360,1812,5,0,1200,1200
3,360,1812,6,10,415.37,1200
3,360,1812,7,10,38.57,1200
3,360,1812,8,10,27.94,1200
3,360,1812,9,10,26.32,1200
3,360,1812,15,10,0.01,1200
3,360,1812,16,0,1197.46,1200
3,360,1812,17,0,1196.85,1200
3,360,1812,18,0,1200,1200
3,360,1812,19,10,844.43,1200
